Awarding_Body,Full_Address,County,Country
Dublin City University,"Collins Ave Ext, Whitehall, Dublin 9",Dublin,Ireland
Trinity College Dublin,"College Green, Dublin 2",Dublin,Ireland
"National University of Ireland, Galway","University Road, Galway",Galway,Ireland
University College Cork,"College Rd, University College, Cork",Cork,Ireland
Dundalk Institute of Technology,"Dublin Rd, Marshes Upper, Dundalk, Co. Louth, A91 K584",Louth,Ireland
Letterkenny Institute of Technology,"Port Rd, Gortlee, Letterkenny, Co. Donegal",Donegal,Ireland
Galway Mayo Institute of Technology,"Old Dublin Rd, Galway",Galway,Ireland
Maynooth University,"Mariavilla, Maynooth, Co. Kildare",Kildare,Ireland
University of Limerick,"University of Limerick, Limerick, V94 T9PX",Limerick,Ireland
Technological University of the Shannon: Midlands Midwest Athlone Campus,"University Road, Athlone, Co. Westmeath, N37HD68",Westmeath,Ireland
Technological University Dublin,Park House Grangegorman 191 North Circular Road D07 EWV4 Ireland,Dublin,Ireland
