,ID,CourseID,Title,Awarding_Body,School,Credit,skills,Awarding_Body_Short,Course_Area,Course_Area_ID,Awarding_Body_Type
0,1,,FinTech - Financial Innovation,Dublin City University,Business,Yes,"Professional development, Finance, Technology, FinTech, Financial services, Blockchain, Cryptocurrencies, InsurTech, Insurance, Big data, Financial modelling",DCU,Financial Services,8,University
1,2,,Advanced Spatial Analysis using GIS- Micro-credential,Trinity College Dublin,Engineering,Yes,,TCD,Manufacturing / Engineering,14,University
2,3,,Air Pollution: Monitoring Assessment and Control - Micro-credential,Trinity College Dublin,Engineering,Yes,,TCD,Manufacturing / Engineering,14,University
3,4,,Authority to Refer for Radiological Procedures - Micro-credential,Trinity College Dublin,School of Nursing and Midwifery,Yes,,TCD,Healthcare / Medical / Nursing,9,University
4,5,,Creating Value with ESG - Micro-credential,Trinity College Dublin,Business,Yes,,TCD,Managers / Supervisors,13,University
5,6,,Cyber-physical Systems and Control - Micro-credential,Trinity College Dublin,Engineering,Yes,,TCD,Manufacturing / Engineering,14,University
6,7,,Digital Technologies in Human Services - Micro-credential,Trinity College Dublin,School of Social Work and Social Policy,Yes,,TCD,Online /Digital Media,17,University
7,8,,Disability and Child Protection: Towards New Understanding - Micro-credential,Trinity College Dublin,School of Social Work and Social Policy,Yes,,TCD,Healthcare / Medical / Nursing,9,University
8,9,,Finance for Non-Finance Executives - Micro-credential,Trinity College Dublin,Business,Yes,,TCD,Financial Services,8,University
9,10,,Foundations in Lean Ops Excellence - Micro-credential,Trinity College Dublin,Business,Yes,,TCD,Managers / Supervisors,13,University
10,11,,Introduction to XR: Applications and Technology - Micro-credential,Trinity College Dublin,Engineering,Yes,,TCD,Manufacturing / Engineering,14,University
11,12,,Leading Business Analytics Big Data - Micro-credential,Trinity College Dublin,Business,Yes,,TCD,Big Data / Business Analysis,4,University
12,13,,Leading Digital Marketing Strategy - Micro-credential,Trinity College Dublin,Business,Yes,,TCD,Marketing /Market Research,15,University
13,14,,Leading People - Micro-credential,Trinity College Dublin,Business,Yes,,TCD,Managers / Supervisors,13,University
14,15,,Leading Teams - Micro-credential,Trinity College Dublin,Business,Yes,,TCD,Managers / Supervisors,13,University
15,16,,Legal Training for Child Protection and Welfare Practitioners - Micro-credential,Trinity College Dublin,School of Social Work and Social Policy,Yes,,TCD,Legal,12,University
16,17,,Low Carbon Power Technology - Micro-credential,Trinity College Dublin,Engineering,Yes,,TCD,Energy / Renewable Energy,7,University
17,18,,Motion Picture Engineering - Micro-credential,Trinity College Dublin,Engineering,Yes,,TCD,Construction / Engineering,5,University
18,19,,Negotiating for Value - Micro-credential,Trinity College Dublin,Business,Yes,,TCD,Managers / Supervisors,13,University
19,20,,Professional Ethical Legal Communication Issues informing NM Prescribing Clinical Pract- Micro-credential,Trinity College Dublin,School of Nursing and Midwifery,Yes,,TCD,Healthcare / Medical / Nursing,9,University
20,21,,Safeguarding Adults at Risk of Abuse - Micro-credential,Trinity College Dublin,School of Nursing and Midwifery,Yes,,TCD,Healthcare / Medical / Nursing,9,University
21,22,,Solar Energy Conversion and Application - Micro-credential,Trinity College Dublin,Engineering,Yes,,TCD,Energy / Renewable Energy,7,University
22,23,,Spatial Audio - Micro-credential,Trinity College Dublin,Engineering,Yes,,TCD,Manufacturing / Engineering,14,University
23,24,,Transport Modelling and Planning - Micro-credential,Trinity College Dublin,Engineering,Yes,,TCD,Warehouse / Logistics / Shipping,21,University
24,25,,ECS401 Promoting Inclusion in Early Years Care and Education,"National University of Ireland, Galway",Early Childhood Studies,yes,"Promoting inclusion in Early Years practice is crucial in order to provide a holistic approach to children’s development and care in the early years. There are legal, regulatory and best-practice guidelines that Early Years practitioners are obliged to follow to guide practice. Each of these highlights the importance of promoting inclusion of all children and families.",NUIGalway,Healthcare / Medical / Nursing,9,University
25,26,,ECS205 The Child and Family in Irish Law,"National University of Ireland, Galway",Early Childhood Studies,yes,"This module gives a broad overview of the Irish legal system as it stands today. It discusses the impact the legal system has on the child and the family, and the various services relevant to children and families engaged with or affected by the legal system. The module also gives a broad overview of the impact of international law on the Irish legal system and explores the relevance of international law to those working with children and families in Ireland today. Apply by 1/01/2021",NUIGalway,Healthcare / Medical / Nursing,9,University
26,27,,ECS301 Children and Families in Society,"National University of Ireland, Galway",Early Childhood Studies,yes,"This module examines children and families and how they interact with, and are affected by, the wider society in which they live. The module looks at different definitions of ‘family’, and considers key theories of family life. It outlines historical notions of the family and the impacts of culture on the family. It discusses children’s lives and contemporary and historical ideas about childhood.",NUIGalway,Healthcare / Medical / Nursing,9,University
27,28,,ECS307 Understanding Children’s Early Learning,"National University of Ireland, Galway",Early Childhood Studies,yes,"Contemporary understandings of childhood construct the child as an active agent in matters that affect their lives. Underpinned by the sociological understanding of childhood, this approach portrays the young child as an active and confident agent, and as a catalyst for their own learning and development.",NUIGalway,Healthcare / Medical / Nursing,9,University
28,29,,ECS202 Implementing the Early Years Curriculum,"National University of Ireland, Galway",Early Childhood Studies,yes,"This module examines underlying theories on educational activities and play for babies and children (0-8). The module examines a range of early childhood educational philosophies, including Montessori, HighScope, Reggio Emilia, Steiner, and ‘Play Based’. In addition, the module analyses Aistear: the Early Childhood Curriculum Framework in relation to devising suitable educational activities and play. Application deadline: 1 February.",NUIGalway,Healthcare / Medical / Nursing,9,University
29,30,,ECS101 Psychology - The Developing Child 1,"National University of Ireland, Galway",Early Childhood Studies,yes,The objective of this module is to introduce a range of theories in relation to the holistic development of young children and to look at their application in early childhood care and practice settings. The module will also provide students with an insight into atypical child development. The module will look at the role of adults in planning a child-centred environment.,NUIGalway,Healthcare / Medical / Nursing,9,University
30,31,,EYS1114 Integrated Community-Based Work Practice,"National University of Ireland, Galway",Early Childhood Studies,yes,"This module explores the theoretical underpinning to integrated community-based work, looks at past approaches, and critically examines the ‘new’ direction in service provision. In particular, the module draws on the ethic of care and social ecological theories to analyse universal and targeted community-based responses to children and families, including such services as home support, child protection, disability services and programmes designed to address inclusion.",NUIGalway,Healthcare / Medical / Nursing,9,University
31,32,,"EYS1115 Contemporary Perspectives on Play, Learning and Pedagogy","National University of Ireland, Galway",Early Childhood Studies,yes,"This module explores contemporary issues and perspectives on play, learning and pedagogy concerning ECEC. Drawing from a range of theoretical perspectives, learners will explore and analyse existing debates, emerging issues and current approaches, with the aim of developing critical and reflective thinking skills, enabling transformative practice within the early years sector.",NUIGalway,Healthcare / Medical / Nursing,9,University
32,33,,ECS103 Creative Development in Early Years,"National University of Ireland, Galway",Early Childhood Studies,yes,"This module will allow students the opportunity to explore and understand their role as facilitators and supporters of creative expression in young children. A theoretical approach will be used to consider the value of extending play through the use of music, movement, storytelling, art and drama in early years’ settings.",NUIGalway,Healthcare / Medical / Nursing,9,University
33,34,,EYS1112 Children’s Rights and Well Being: Current Issue,"National University of Ireland, Galway",Early Childhood Studies,yes,"This module will take as a starting point the ‘recognition that human rights are the entitlement of all people, acknowledging that children are individual rights holders. It will also recognise that children have specific rights through the UN Convention on the Rights of the Child under which they have a right to achieve their full potential and participate in decisions that affect their lives. (Dates subject to change)",NUIGalway,Healthcare / Medical / Nursing,9,University
